1h,24h,7d,Liquidity Ratio,Volatility,price
0.488,0.2394957983193277,0.17288914417001724,0.009497419147382766,6.297049164705671e-13,40859.46
0.504,0.2450980392156863,0.17576105686387133,0.012491575812649834,6.298123011769067e-13,2744.41
0.304,0.19607843137254902,0.15709362435381966,0.14990124468549385,0.0,1.0
0.45599999999999996,0.2366946778711483,0.1582423894313613,0.004509496223238211,6.297169081332769e-13,383.43
0.304,0.19747899159663865,0.15709362435381966,0.015341811311429214,5.002168159704665e-13,0.999874
0.46399999999999997,0.22408963585434172,0.1826536473291212,0.02163913485254286,6.303898937096961e-13,0.785018
0.504,0.19047619047619047,0.17030442274554855,0.016714402445970753,6.311179352848284e-13,89.51
0.504,0.2170868347338934,0.16886846639862146,0.013345964844663128,6.303777205614792e-13,85.61
0.44,0.21988795518207283,0.16513497989661113,0.007470249537753447,6.300048614882588e-13,0.824161
0.56,0.24649859943977592,0.18437679494543366,0.007816535915905358,6.293674793520106e-13,18.55
0.5840000000000001,0.242296918767507,0.16025272831705917,0.009167572469954968,6.299591707827195e-13,73.69
0.296,0.2002801120448179,0.15766800689259047,0.04649632683156887,8.240507249589522e-13,1.0
0.432,0.22969187675070027,0.15393452039058014,0.006105346191029617,6.308576199803295e-13,0.11566
0.304,0.20168067226890757,0.15738081562320508,0.010220299351623705,6.575484874097825e-13,1.0
0.504,0.2366946778711483,0.15106260769672603,0.009276139589522945,6.314711037617775e-13,2.241815e-05
0.472,0.2394957983193277,0.17288914417001724,0.00827497177366919,6.296214054357541e-13,40820.44
0.45599999999999996,0.25770308123249297,0.16800689259046525,0.0020311108798939563,6.291322305959626e-13,0.401575
0.5439999999999992,0.2450980392156863,0.15709362435381966,0.01396265684246682,6.308199040103708e-13,1.44
0.312,0.19607843137254902,0.15709362435381966,0.006865891687099822,5.713438432261537e-13,0.999429
0.448,0.2689075630252101,0.16714531878230904,0.01945559027254077,6.305451590155166e-13,28.8
0.44,0.2156862745098039,0.1826536473291212,0.019950996970634134,6.303788952398149e-13,109.44
0.52,0.24649859943977592,0.17633543940264218,0.000603209510232401,6.289996113578856e-13,2745.31
0.6399999999999992,0.242296918767507,0.18322802986789202,0.01209239951581391,6.295788168298008e-13,10.61
0.496,0.28711484593837533,0.18638713383113154,0.022273156388925262,6.299490001387827e-13,14.41
0.4,0.20448179271708683,0.1579551981619759,0.02050094984671583,6.38014642958558e-13,0.060751875857
0.472,0.23109243697478993,0.17001723147616313,0.0032477421814093026,6.292662891416431e-13,42.37
0.45599999999999996,0.2184873949579832,0.16829408385985067,0.050813096910660695,6.34882373129513e-13,295.57
0.3679999999999992,0.211484593837535,0.17288914417001724,3.101643960277711e-05,6.289636800327821e-13,5.97
0.416,0.25210084033613445,0.1777713957495692,0.007548247047200094,6.294708901648639e-13,19.05
0.512,0.2170868347338934,0.15422171165996554,0.006499852256154693,6.308409113767641e-13,0.731009
0.448,0.2338935574229692,0.1797817346352671,0.011622027492985706,6.297594756289321e-13,0.186969
0.5680000000000001,0.2535014005602241,0.16427340608845492,0.009504473464780071,6.297823155604489e-13,9.05
0.40800000000000003,0.18767507002801134,0.1502010338885698,0.003457710770232622,6.27432910845136e-13,0.200008
0.6,0.28431372549019607,0.1826536473291212,0.016014785170089797,6.296787314381891e-13,50.46
0.48,0.28851540616246496,0.16111430212521538,0.02726331669954853,6.312479096126738e-13,2.43
0.5359999999999991,0.24089635854341737,0.15996553704767377,0.018276150316392677,6.311827783951043e-13,26.93
0.512,0.2661064425770308,0.22286042504307868,0.018578667870980066,6.294746057857902e-13,162.55
0.384,0.3739495798319328,0.18351522113727745,0.058699133781560414,6.311300347095402e-13,3.08
0.472,0.22408963585434172,0.14704192992533027,0.009485779427232574,6.488604216328868e-13,16.26
0.336,0.21288515406162464,0.13612866168868468,0.01523656515737955,6.267929453932882e-13,189.34
0.304,0.21008403361344538,0.1685812751292361,7.057992889828007e-08,6.289600773805501e-13,53.71
0.5359999999999991,0.24369747899159663,0.16513497989661113,0.018488001961331577,6.307032673803717e-13,0.047848054559
0.6559999999999999,0.22829131652661064,0.13440551407237222,0.07898565948375567,5.816157278407488e-13,1.22
0.44,0.211484593837535,0.14531878230901785,0.01792247823851032,6.189334433124719e-13,17.27
0.4239999999999992,0.2226890756302521,0.15680643308443423,0.0063999563894084404,6.306925247728678e-13,9.39
0.44,0.22969187675070027,0.15364732912119472,0.003895434316777916,6.301707745401959e-13,1.1
0.296,0.19887955182072828,0.15709362435381966,0.0013130316052016977,6.179415515454364e-13,0.998392
0.4239999999999992,0.31092436974789917,0.23549684089603679,0.1090169939719991,6.314460254743436e-13,28.62
0.5680000000000001,0.24369747899159663,0.15594485927627802,0.008785242790488583,6.301686349067203e-13,2.82
0.312,0.2030812324929972,0.15766800689259047,0.003317355140022174,6.335997505645332e-13,0.997676
0.336,0.2549019607843136,0.24755887421022402,0.029438215024768316,6.296481861061021e-13,0.440816
0.48,0.23249299719887956,0.16082711085582999,0.008912702677055458,6.302277321886844e-13,3.05
0.304,0.19887955182072828,0.15738081562320508,3.5337793614165586e-09,6.289600946955986e-13,0.022533007284
0.296,0.2647058823529412,0.16456059735784034,0.0021236863517872266,6.292075824260691e-13,21.72
0.632,0.11484593837535013,0.37794371051120046,0.028461381619211697,6.292785159872051e-13,7.23
0.46399999999999997,0.242296918767507,0.17087880528431937,0.03461648276529445,6.318943046310055e-13,2.06
0.46399999999999997,0.23529411764705882,0.09419873635841475,0.00036043877577014006,6.28942581345957e-13,0.003406821495
0.45599999999999996,0.21288515406162464,0.1605399195864446,0.0028210376203541055,6.295374598158424e-13,0.712336
